ID1;HHID;HV000;HV001;HV002;HV002A;HV003;HV004;HV007;HV008;HV009;HV010;HV011;HV012;HV013;HV014;HV015;HV017;HV020;HV021;HV023;HV024;HV025;HV026;HV027;HV028;HV030;HV031;HV032;HV033;HV035;HV040;HV041;HV042;HV043;HV044;UBIGEO;HV005;HV022;NCONGLOME;CODCCPP;NOMCCPP;LONGITUDX;LATITUDY
2022;      000602501;PE6;6;25;1;2;6;2022;1468;4;1;0;4;3;2;1;1;0;6;1;1;1;1;0; ;0; ;0; ;1;2338;1;1;0;1;010101;98743;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000603801;PE6;6;38;1;1;6;2022;1468;4;1;0;3;4;0;1;1;0;6;1;1;1;1;0; ;0; ;0; ;0;2338;1;1;0;1;010101;612005;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000605901;PE6;6;59;1;0;6;2022;1468;0;0;0;0;0;0;6;3;0;6;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;0;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000606201;PE6;6;62;1;2;6;2022;1468;2;0;0;2;2;0;1;1;0;6;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;612005;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000608601;PE6;6;86;1;0;6;2022;1468;0;0;0;0;0;0;5;4;0;6;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;0;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000611901;PE6;6;119;1;1;6;2022;1468;7;2;0;3;7;2;1;1;0;6;1;1;1;1;0; ;0; ;0; ;2;2338;2;1;0;1;010101;98743;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000615801;PE6;6;158;1;1;6;2022;1468;3;2;0;3;3;1;1;1;0;6;1;1;1;1;0; ;0; ;0; ;1;2338;2;1;0;1;010101;98743;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000617601;PE6;6;176;1;4;6;2022;1468;9;3;0;8;9;2;1;1;0;6;1;1;1;1;0; ;0; ;0; ;2;2338;3;1;0;1;010101;98743;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000618001;PE6;6;180;1;1;6;2022;1468;2;0;0;2;2;0;1;1;0;6;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;612005;2;07099;0001;CHACHAPOYAS;-77,866991473;-6,235962549
2022;      000700801;PE6;7;8;1;1;7;2022;1468;1;0;0;1;1;0;1;1;0;7;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;716842;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000701001;PE6;7;10;1;2;7;2022;1468;4;1;0;4;4;0;1;1;0;7;1;1;1;1;0; ;0; ;0; ;0;2338;1;1;0;1;010101;716842;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000701901;PE6;7;19;1;1;7;2022;1468;4;1;0;4;4;1;1;2;0;7;1;1;1;1;0; ;0; ;0; ;1;2338;1;1;0;1;010101;115657;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000703401;PE6;7;34;1;1;7;2022;1468;1;0;0;1;1;0;1;1;0;7;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;716842;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000704801;PE6;7;48;1;2;7;2022;1468;4;1;0;4;4;1;1;1;0;7;1;1;1;1;0; ;0; ;0; ;1;2338;1;1;0;1;010101;115657;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000705201;PE6;7;52;1;1;7;2022;1468;2;1;0;2;2;0;1;1;0;7;1;1;1;1;0; ;0; ;0; ;0;2338;1;1;0;1;010101;716842;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000705401;PE6;7;54;1;2;7;2022;1468;2;0;0;2;2;0;1;1;0;7;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;716842;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000705402;PE6;7;54;2;0;7;2022;1468;0;0;0;0;0;0;5;5;0;7;1;1;1;1;0; ;0; ;0; ;0;2338;0;1;0;1;010101;0;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000705701;PE6;7;57;1;1;7;2022;1468;5;1;0;5;5;1;1;1;0;7;1;1;1;1;0; ;0; ;0; ;1;2338;1;1;0;1;010101;115657;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000707801;PE6;7;78;1;2;7;2022;1468;4;1;0;4;4;1;1;1;0;7;1;1;1;1;0; ;0; ;0; ;1;2338;1;1;0;1;010101;115657;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000708801;PE6;7;88;1;2;7;2022;1468;4;1;0;4;4;2;1;1;0;7;1;1;1;1;0; ;0; ;0; ;2;2338;1;1;0;1;010101;115657;4;48515;0001;CHACHAPOYAS;-77,859391171;-6,218497082
2022;      000804501;PE6;8;45;1;2;8;2022;1469;5;2;0;5;5;1;1;1;0;8;1;1;1;2;0; ;0; ;0; ;1;189;2;1;0;1;010401;112421;9;06488;0001;SANTA MARIA DE NIEVA;-77,873295359;-4,592609503
2022;      000805601;PE6;8;56;1;3;8;2022;1469;6;1;0;6;6;1;1;1;0;8;1;1;1;2;0; ;0; ;0; ;1;189;1;1;0;1;010401;112421;9;06488;0001;SANTA MARIA DE NIEVA;-77,873295359;-4,592609503
2022;      000806201;PE6;8;62;1;1;8;2022;1469;3;0;0;3;3;1;1;1;0;8;1;1;1;2;0; ;0; ;0; ;0;189;0;1;0;1;010401;722136;9;06488;0001;SANTA MARIA DE NIEVA;-77,873295359;-4,592609503
2022;      000806701;PE6;8;67;1;0;8;2022;1469;0;0;0;0;0;0;9;1;0;8;1;1;1;2;0; ;0; ;0; ;0;189;0;1;0;1;010401;0;9;06488;0001;SANTA MARIA DE NIEVA;-77,873295359;-4,592609503
