ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,HV005,CODCCPP,NOMCCPP,LATITUDY,LONGITUDX,NCONGLOME
2023,      000703301,PE6,7,33,1,3,7,2023,1479,5,1,0,5,5,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000705001,PE6,7,50,1,1,7,2023,1479,4,2,0,4,4,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000706801,PE6,7,68,1,1,7,2023,1479,8,3,0,8,8,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,3,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000707801,PE6,7,78,1,2,7,2023,1479,6,1,0,6,5,2,1,1,0,7,1,1,1,1,0, ,0, ,0, ,2,2338,1,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000709201,PE6,7,92,1,2,7,2023,1479,3,1,0,3,3,0,1,1,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,1,1,0,1,010101,4,737424,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000711001,PE6,7,110,1,0,7,2023,1479,0,0,0,0,0,0,9,5,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000711301,PE6,7,113,1,2,7,2023,1479,4,1,0,4,4,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000711401,PE6,7,114,1,1,7,2023,1479,6,2,0,6,6,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,4,97716,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000711601,PE6,7,116,1,0,7,2023,1479,0,0,0,0,0,0,3,2,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0,0001,CHACHAPOYAS,-6.218497082,-77.859391171,48515
2023,      000800301,PE6,8,3,1,1,8,2023,1481,6,1,0,6,6,1,1,1,0,8,1,1,1,2,0, ,0, ,0, ,1,189,1,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000803001,PE6,8,30,1,1,8,2023,1481,5,2,0,5,5,1,1,1,0,8,1,1,1,2,0, ,0, ,0, ,1,189,2,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000805601,PE6,8,56,1,2,8,2023,1481,5,1,0,5,5,2,1,1,0,8,1,1,1,2,0, ,0, ,0, ,2,189,1,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000810401,PE6,8,104,1,0,8,2023,1481,0,0,0,0,0,0,3,5,0,8,1,1,1,2,0, ,0, ,0, ,0,189,0,1,0,1,010401,9,0,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000811301,PE6,8,113,1,6,8,2023,1481,8,3,0,8,8,2,1,1,0,8,1,1,1,2,0, ,0, ,0, ,2,189,4,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000813501,PE6,8,135,1,0,8,2023,1481,0,0,0,0,0,0,8,1,0,8,1,1,1,2,0, ,0, ,0, ,0,189,0,1,0,1,010401,9,0,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000814001,PE6,8,140,1,3,8,2023,1481,7,2,0,7,7,2,1,1,0,8,1,1,1,2,0, ,0, ,0, ,1,189,3,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000814201,PE6,8,142,1,2,8,2023,1481,5,2,0,5,5,2,1,1,0,8,1,1,1,2,0, ,0, ,0, ,2,189,2,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000815901,PE6,8,159,1,2,8,2023,1481,5,1,0,5,5,2,1,1,0,8,1,1,1,2,0, ,0, ,0, ,2,189,1,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      000816001,PE6,8,160,1,2,8,2023,1481,6,1,0,5,6,1,1,1,0,8,1,1,1,2,0, ,0, ,0, ,1,189,1,1,0,1,010401,9,123336,0001,SANTA MARIA DE NIEVA,-4.592609503,-77.873295359,06488
2023,      001601501,PE6,16,15,1,2,16,2023,1482,3,1,0,3,3,1,1,1,0,16,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001602801,PE6,16,28,1,2,16,2023,1482,3,1,0,3,3,1,1,1,0,16,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001603401,PE6,16,34,1,1,16,2023,1482,8,0,0,8,6,2,1,1,0,16,1,1,1,2,0, ,0, ,0, ,2,444,2,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001604401,PE6,16,44,1,1,16,2023,1482,4,1,0,4,4,1,1,2,0,16,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001605001,PE6,16,50,1,1,16,2023,1482,7,1,0,6,7,1,1,1,0,16,1,1,1,2,0, ,0, ,0, ,1,444,2,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001606401,PE6,16,64,1,0,16,2023,1482,0,0,0,0,0,0,6,3,0,16,1,1,1,2,0, ,0, ,0, ,0,444,0,1,0,1,010701,8,0,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001606501,PE6,16,65,1,1,16,2023,1482,4,1,0,4,4,1,1,1,0,16,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001607301,PE6,16,73,1,2,16,2023,1482,4,1,0,4,4,2,1,1,0,16,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001607601,PE6,16,76,1,2,16,2023,1482,3,1,0,3,3,1,1,1,0,16,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,8,135004,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001610101,PE6,16,101,1,2,16,2023,1482,3,0,0,3,3,0,1,1,0,16,1,1,1,2,0, ,0, ,0, ,0,444,0,1,0,1,010701,8,970944,0001,BAGUA GRANDE,-5.764175455,-78.450228028,0670501
2023,      001801201,PE6,18,12,1,2,18,2023,1479,3,0,0,3,3,0,1,1,0,18,1,1,1,2,0, ,0, ,0, ,0,444,0,1,0,1,010701,7,868547,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001801901,PE6,18,19,1,1,18,2023,1479,3,0,0,3,1,1,1,1,0,18,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,7,120767,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001802201,PE6,18,22,1,2,18,2023,1479,4,1,0,4,4,0,1,1,0,18,1,1,1,2,0, ,0, ,0, ,0,444,1,1,0,1,010701,7,868547,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
2023,      001802301,PE6,18,23,1,2,18,2023,1479,4,1,0,4,3,1,1,1,0,18,1,1,1,2,0, ,0, ,0, ,1,444,1,1,0,1,010701,7,120767,0001,BAGUA GRANDE,-5.759619488,-78.441479445,06694
