ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,CODCCPP,NOMCCPP,NCONGLOME,HV005,longitudx,latitudy
2021,      000300601,PE6,3,6,1,1,3,2021,1457,3,2,0,3,3,0,1,1,0,3,1,1,1,1,0, ,0, ,0, ,0,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,731258,-77.866251653,-6.219789096
2021,      000300801,PE6,3,8,1,2,3,2021,1457,6,2,0,6,6,2,1,1,0,3,1,1,1,1,0, ,0, ,0, ,2,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,141696,-77.866251653,-6.219789096
2021,      000304201,PE6,3,42,1,0,3,2021,1457,0,0,0,0,0,0,3,2,0,3,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,0,-77.866251653,-6.219789096
2021,      000304701,PE6,3,47,1,3,3,2021,1457,4,2,0,4,3,1,1,1,0,3,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,141696,-77.866251653,-6.219789096
2021,      000305501,PE6,3,55,1,0,3,2021,1457,0,0,0,0,0,0,3,2,0,3,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,0,-77.866251653,-6.219789096
2021,      000307101,PE6,3,71,1,1,3,2021,1457,4,0,0,4,0,0,1,1,0,3,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,731258,-77.866251653,-6.219789096
2021,      000310101,PE6,3,101,1,1,3,2021,1457,5,1,0,3,5,1,1,1,0,3,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,141696,-77.866251653,-6.219789096
2021,      000310201,PE6,3,102,1,1,3,2021,1457,3,1,0,3,2,1,1,1,0,3,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,141696,-77.866251653,-6.219789096
2021,      000315401,PE6,3,154,1,0,3,2021,1457,0,0,0,0,0,0,3,2,0,3,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,4,0001,CHACHAPOYAS,0707301,0,-77.866251653,-6.219789096
2021,      000401801,PE6,4,18,1,1,4,2021,1453,5,1,0,5,5,1,1,1,0,4,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07080,126749,-77.86555367,-6.22737808
2021,      000402601,PE6,4,26,1,0,4,2021,1453,0,0,0,0,0,0,3,5,0,4,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07080,0,-77.86555367,-6.22737808
2021,      000403501,PE6,4,35,1,2,4,2021,1453,2,0,0,2,2,0,1,1,0,4,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07080,654119,-77.86555367,-6.22737808
2021,      000403601,PE6,4,36,1,1,4,2021,1453,4,1,0,4,4,1,1,1,0,4,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07080,126749,-77.86555367,-6.22737808
2021,      000403701,PE6,4,37,1,2,4,2021,1453,4,3,0,4,3,0,1,1,0,4,1,1,1,1,0, ,0, ,0, ,0,2338,3,1,0,1,010101,2,0001,CHACHAPOYAS,07080,654119,-77.86555367,-6.22737808
2021,      000404801,PE6,4,48,1,1,4,2021,1453,4,1,0,4,4,1,1,1,0,4,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07080,126749,-77.86555367,-6.22737808
2021,      000405401,PE6,4,54,1,1,4,2021,1453,2,0,0,2,2,0,1,1,0,4,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07080,654119,-77.86555367,-6.22737808
2021,      000406101,PE6,4,61,1,0,4,2021,1453,0,0,0,0,0,0,6,4,0,4,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07080,0,-77.86555367,-6.22737808
2021,      000407801,PE6,4,78,1,0,4,2021,1453,0,0,0,0,0,0,3,5,0,4,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07080,0,-77.86555367,-6.22737808
2021,      000408401,PE6,4,84,1,1,4,2021,1453,3,1,0,3,3,1,1,1,0,4,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07080,126749,-77.86555367,-6.22737808
2021,      000500101,PE6,5,1,1,1,5,2021,1458,5,2,0,5,5,1,1,1,0,5,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,2,0001,CHACHAPOYAS,07098,117533,-77.869230754,-6.234386829
2021,      000500301,PE6,5,3,1,2,5,2021,1458,6,1,0,6,6,2,1,1,0,5,1,1,1,1,0, ,0, ,0, ,2,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07098,117533,-77.869230754,-6.234386829
2021,      000503501,PE6,5,35,1,1,5,2021,1458,2,0,0,2,2,0,1,1,0,5,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07098,606562,-77.869230754,-6.234386829
2021,      000504601,PE6,5,46,1,1,5,2021,1458,3,1,0,3,3,1,1,1,0,5,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07098,117533,-77.869230754,-6.234386829
2021,      000506601,PE6,5,66,1,2,5,2021,1458,4,1,0,4,4,1,1,1,0,5,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07098,117533,-77.869230754,-6.234386829
